企業番号	"生産品目"
20080657	美容一般
20080658	美容一般
20080659	美容一般
20080660	美容一般
20030056	建設業，住宅建設，土木，外構工事等施工見積り
20080662	製造エンジニアリング技術サービス
19850705	フライドチキン、ピザ,調理・販売
20070609	総合レジャ－施設の経営
20070605	アミュ－ズメント施設運営
20070603	アミュ－ズメント施設運営
20070604	アミュ－ズメント施設運営
20070638	遊技業の企画・運営
20070408	電気・情報通信・消防設備設計・施工
20070607	遊技場（パチンコホ－ルの企画経営）
20080671	総合レジャー事業
20080672	アミューズメント施設運営
19910449	遊技場経営
20070610	遊技場の経営
20070599	アミュ－ズメント施設、飲食店運営、広告業
20080676	遊技業
20080677	経営コンサルタント業・人材派遣業　等
20080678	ゴルフ場経営
19890942	鋳物製造業
20080680	建築用金属製品製造業
20080681	電気工事業
20020289	自動車／産業用エンジン製造
20050527	飲食店経営
20080684	塗りかえ（塗装）、リフォーム業
19901411	電気・空調設備工事・設計
20080686	電気・電子機器の保守サービス
20060632	和食・洋食・中華・カフェ経営
20070643	ＪＲ東日本・東武鉄道の保線、軌道土木作業
19850001	
19850004	化学肥料工業薬品
19850005	石油製品販売
19850006	綿糸
19850009	印刷機器電動工具建築用品製造販売
19850015	下水浄化処理施設機器運転維持管理
19850017	情報機器設計販売
19850018	自動車製造販売
19850019	エレベ－タ等製造販売・据付・保守
19850021	コンクリ－ト製造販売
19850025	情報通信機器開発
19850026	鉄道業
19850030	設計製図
19850031	
19850033	
19850036	ソフト設計販売
19850039	建設業
19850040	
19850043	特殊鋼材・機器等製造販売
19850044	自動車設計製図
19850045	産業機械組立治具開発設計･製作
19850047	青果物卸売
19850048	石油製品販売自動車整備
19850050	石油製品販売ゴルフ場経営
19850051	鋼製ドラム缶・オイルタンク製造
19850053	
19850058	
19850061	ミシン等の販売
19850063	鮓・会席・日本料理全般
19850065	紳士服販売
19850066	
19850067	
19850068	ソフトウエア開発販売
19850069	各種ソフトウエア研究開発
19850070	
19850071	
19850072	プラント設備、機器のﾒﾝﾃﾅﾝｽ
19850073	総合食料品の製造販売
19850074	気化器製造
